Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
,t.schaefers,1.0 out of 5 stars,"

  trage seit Jahren nur Crocs privat und an der Arbeit , habe mich gefreut mal ein  günstiges Paar zu bekommen aber ich habe das Gefühl das es B Ware ist einmal getragen und fühlt sich an ob es monate waren

",,,Reviewed in Germany on 4 November 2019
,Amazon Kunde,5.0 out of 5 stars,"

  ...aber diese super bequemen Latschen haben mich echt überzeugt.Kein Problem von Schweißfüßen, wenn man mal Barfuß die Schuhe trägt.Klappt aber nur bei den Originalen Crocs.Sehr gutes Material!Absolute Kaufempfehlung und keine Kopie kommt an diese Qualität und Eigenschaft dran!

",Size: 8/9 UKColour: Black,,Reviewed in Germany on 23 February 2017
,Tamara W,5.0 out of 5 stars,"

  Seit diesem Paar Schuhe bin ich crocs-Fan! Habe sie für den Alltag als Tierarzthelferin in der Praxis bestellt und zu Hause Probe getragen. Beim auspacken riechen sie etwas, aber eine Nacht lüften und der Geruch ist weg. Trage Größe 38 und habe 38/39 bestellt und passen 1A mit und ohne Socken. Lassen sich prima reinigen. Habe ""Made in Italy"" erwischt und habe rein garnichts zu bemängeln!

",,,Reviewed in Germany on 16 August 2014
,Solea21,5.0 out of 5 stars,"

  Diese Pantolette ist einfach genial bequem! Hab mich beim ersten Mal überreden lassen, denn ich trage sonst nur Naturmaterialien, doch sie trägt sich mit Söckchen sehr gut und auch nicht schwitzig. Sie kommt in Doppelgrößen, hab dann die kleinere behalten, weil sie sehr groß ausfällt. Mittlerweile habe ich 3 Paar. Eins für den Garten, eins für zu Hause und eins auf Arbeit. Sehr zu empfehlen.

",,,Reviewed in Germany on 19 March 2013
,Federico,4.0 out of 5 stars,"

  Ho finale deciso di comprare le crocs,dopo un lungo rapporto conflittuale.Non son particolarmente belle.. ma son davvero comode e multi uso!Ho scelto un numero più Grande del mio poiché avevo letto che era meglio,consiglio il numero giusto. Forse le cambierò con il numero giusto forse ci farò l'abitudine!

",Size: 7.5/8 UKColour: Black,,Reviewed in Italy on 21 August 2016
,Elisa,5.0 out of 5 stars,"

  Prodotto conforme alla descrizione. Veste comodo ed è arrivato entro i tempi previsti

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Italy on 13 July 2020
,Alexa,5.0 out of 5 stars,"

  Der Schuh ist bequem,wie erwartet könnte für diese Größe aber etwas weiter sein

",Size: 11 UKColour: Black,,Reviewed in Germany on 13 December 2020
,Cliente Amazon,5.0 out of 5 stars,"

  Crocs è una garanzia sia per comodità che per mantenimento nel tempo, un acquisto da fare assolutamente. Se non le avete mai provate ve le consiglio... ma soprattutto: diffidate dalle imitazioni! Cercate il marchio originale, scoprirete sui vostri piedi la differenza!

",Size: 4 UKColour: Lemon,,Reviewed in Italy on 1 November 2018
,Tony Ha,3.0 out of 5 stars,"

  Elegi la misma talla que tenia en otras crocs diferentes y la sorpresa fue que son un poco mas grandes, no se si por diseño o por defecto, por lo demas todo genial, comodisimas como siempre

",Size: 8 UK Men/ 9 UK WomenColour: Lemon,One person found this helpful,Reviewed in Spain on 23 July 2017
,asherlev,4.0 out of 5 stars,"

  Nonostante l'estetica discutibile i Crocs sono le calzature più comode del mondo, ideali anche per chi ha problemi di mal di schiena come me. Consegna puntuale. Prodotto conforme alla descrizione e alle aspettative. Ottimo prezzo. Peccato la scelta di colori un po' limitata nel momento in cui ho effettuato l'acquisto.

",,,Reviewed in Italy on 5 June 2015
,Danny Heinze,5.0 out of 5 stars,"

  Die Schuhe sind super....passen,sind bequem.Leise,quietschen nicht.Ich trag sie 12 Std in Nachtdienst....und hab morgens keine müden schwitzige Füsse...super ich kann diese Schuhe sehr empfehlen.Farben sind super...

",Size: 5/6 UKColour: Tangerine,,Reviewed in Germany on 23 August 2018
,Carmen,5.0 out of 5 stars,"

  Ottimo. Prodotto già sperimentato. Gli zoccoli sono comodi, lavabilissimi anche in lavatrice. Utili per il mare, la casa,  il giardino e anche carini in tutti i colori disonibili

",,,Reviewed in Italy on 29 June 2018
,Michael,5.0 out of 5 stars,"

  Früher fand ich Leute die crocs tragen .... nun ja dooooofffff. Jetzt trage ich sie mit Begeisterung selbst. Im Sommer will ich sie nicht mehr ausziehen. Man läuft wie auf Moos. Habe vorher Birkenstock getragen und die sind im ""Auftritt"" im Vergleich zu den Crocs hart.Ich kann Sie nur empfehlen. Habe mir jetzt auch welche ""gefüttert"" für den Winter gekauft. Die sind aber härter und somit nicht ganz so toll.

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in Germany on 21 February 2013
,Stefania,4.0 out of 5 stars,"

  Ciabatte come per stare a casa o per andare al mare sugli scogli o in spiagge con ciottoli.

",Size: 5/5.5 UKColour: Candy Pink,,Reviewed in Italy on 3 June 2020
,Ilka Gubener,5.0 out of 5 stars,"

  Wir tragen diese Crocs als Hausschuhe, absolut gesund für die Füße und angenehm zu tragen. Meine aktuellen halten jetzt schon seit 4 Jahren. Durch die Schlitze seitlich und Löcher oben, können die Stampfer gut atmen und es gibt keine Schwitzefüße. Auch gut im Garten oder auf der Arbeit zu tragen. Preis/ Leistung ist super.

",Size: 7/8 UKColour: Neon Magenta,,Reviewed in Germany on 23 January 2019
,Candance,5.0 out of 5 stars,"

  Son para llegar a casa y directamente ponérmelas. Son cómodas simples y ademas fresquitas y mis pies pueden respirar  y son indestructibles a prueba de mascotas.

",Size: 9 UK Men/ 10 UK WomenColour: Black,One person found this helpful,Reviewed in Spain on 10 October 2018
,Cliente Amazon,5.0 out of 5 stars,"

  Me encantan, son perfectos. Producto inmejorable. Volveré a comprarlos

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in Spain on 2 December 2020
,Carlos Photoman,5.0 out of 5 stars,"

  Es el modelo original del fabricante original .... no imitaciones plis.Cómodos y perfectos de talla

",Size: 8 UK Men/ 9 UK WomenColour: Bronze,,Reviewed in Spain on 20 February 2020
,Giuseppe,5.0 out of 5 stars,"

  Spedizione arrivata nel tempo previsto..L'oggetto corrisponde perfettamente alla descrizione, vantaggioso il prezzo..Non sono le prime Crocs che ho e non saranno le ultime

",,,Reviewed in Italy on 10 April 2019
,Carmen,5.0 out of 5 stars,"

  Nunca habia utilizado este tipo de calzado....me encantan. El color es precioso. Cuidado con el numero...coger uno menos. Yo uso un 39 y me cogí el 37-38

",Size: 4.5/5 UKColour: Ballerina Pink,One person found this helpful,Reviewed in Spain on 31 August 2018
,Ilaria,5.0 out of 5 stars,"

  Io ho il piede molto minuto, ma nonostante ciò le Crocs mi risultano comodissime. Molto igieniche perché lavabili, non puzzano, sono resistenti e non fanno venire i calli.

",Size: 3 UKColour: Candy Pink,,Reviewed in Italy on 3 September 2020
,gianga1977,5.0 out of 5 stars,"

  Ottimo prodotto, è il terzo paio che compro, ottimo venditore e spedizione super

",Size: 7.5/8 UKColour: Black,,Reviewed in Italy on 10 August 2020
,Alessia T.,4.0 out of 5 stars,"

  Per quanto non condivida l'abitudine di andare a passeggio con queste ciabatte, trovo che in casa, in giardino o al lavoro siano imbattibili. Nonostante abbia provato altre marche, sono dell'idea che il plantare delle Crocs sia sempre quello più confortevole.Comode, pratiche e colorate, abbinamento vincente.

",Size: 3 UK Men/ 4 UK WomenColour: Navy,,Reviewed in Italy on 17 October 2014
,Stefano Fasano,5.0 out of 5 stars,"

  Direi che non si può sbagliare, questi zoccoli sono veramente fenomenali. La plastica è morbidissima, si lavano facilmente e sono indistruttibili. Il numero 44 per me che porto il 43 e 1/2 è perfetto.

",Size: 9 UKColour: Cerulean Blue,,Reviewed in Italy on 29 March 2018
,Gartenfee,5.0 out of 5 stars,"

  Tolle satte Farbe, gutes Innenleben durch die Noppen. Stocks gehen gut zu befestigen. Der Fuß wird gut unterstützt und der Schuh ist angenehm am Fuß.

",Size: 5/5.5 UKColour: Lemon,,Reviewed in Germany on 5 October 2020
,Luce Busca,5.0 out of 5 stars,"

  Esattamente come da foto. Comodissime in casa e in giardino quando non piove. Le ricompreremo in futuro, costano ma valgono

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in Italy on 24 November 2020
,Romina,5.0 out of 5 stars,"

  Misura per un 40 donna 7/9 perfetta.Silenziose per camminare sul pavimento dell’ospedale...

",,One person found this helpful,Reviewed in Italy on 29 March 2019
,Cliente Amazon,5.0 out of 5 stars,"

  Son muy cómodos y ligeros y de gran calidad,Los he tenido que devolver ya que tallan demasiado grandes , talla que uso es un 43 , y el 42/43 me sobra más de un dedo

",Size: 9 UKColour: Slate Grey,,Reviewed in Spain on 23 June 2020
,Teresa,5.0 out of 5 stars,"

  Nunca te equivocas, cuando les compro otros a mis hijos por variar acabo arrepintiendome.

",Size: 4 UKColour: Lemon,,Reviewed in Spain on 11 June 2020
,angeltinchen,5.0 out of 5 stars,"

  Alles prima, passen wie erwartet, stinken nicht, schöne Farbe, in die Waschmaschine kann man sie auch stecken und natürlich absolut bequem.

",Size: 4.5/5 UKColour: Candy Pink,,Reviewed in Germany on 1 November 2019
,Osterberg,5.0 out of 5 stars,"

  Die Schuhe passen sehr gut und sind insbesondere im Garten und bei Freizeitaktivitäten zu Hause sehr gut geeignet.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Germany on 23 August 2020
,Kim,5.0 out of 5 stars,"

  Finally, something to stand in all day and my feet do not hurt. Very fast delivery.

",,,Reviewed in Canada on 27 June 2020
,magda,5.0 out of 5 stars,"

  La misura è perfetta, avendone acquistato un paio per prova, nè ho subito acquistati altri. Sono leggerissimi e comodi, li ho presi per la piscina, ma i miei figli li usano anche a casa. Li ho consigliati ad una mia collega che ha un 36 e li ha presi per lavorare in ospedale, mi ha detto che ai piedi non li sente. Costano pochissimo, vale la pena provarli.

",,,Reviewed in Italy on 14 March 2014
,Stefania,5.0 out of 5 stars,"

  acquistate per mio padre 82enne, comodissime, prezzo vantaggioso. Consiglio di prendere un numero in più perché calzano poco.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Italy on 13 September 2019
,Spisso,5.0 out of 5 stars,"

  Semplicemente fantastiche e perfette. È la seconda volta che le compro,le prime rosse e adesso grigie. Non potrai più stare senza.

",Size: 7 UKColour: Slate Grey,,Reviewed in Italy on 18 February 2020
,alberto,5.0 out of 5 stars,"

  Son las primeras crocs que uso y la verdad que me ha sorprendido su comodidad. Recomendable 100% su compra y su precio

",Size: 9 UK Men/ 10 UK WomenColour: Navy,One person found this helpful,Reviewed in Spain on 12 September 2018
,Dino Ortner,5.0 out of 5 stars,"

  Sehr gute und bequeme Gartenschuhe.Nicht so hart beim laufen wie die billigen.Würde sie aber eine halbe Nummer größer bestellen. Habe ich getan passen perfekt.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Germany on 22 July 2019
,G. Zimmer,3.0 out of 5 stars,"

  Eigentlich ein tolle Schuh für den Garten...wenn die Noppen im Fußbett nicht wären.Barfuß kann ich sie nicht tragen, da nach kurzer Zeit mein Füße anfangen zu brennen.Trage sie nur mit dicke Socken.

",Size: 4.5/5 UKColour: Ballerina Pink,,Reviewed in Germany on 30 October 2020
,Cliente Amazon,5.0 out of 5 stars,"

  Zuecos que uso habitualmenteLos uso para caminar y son muy cómodos , el número que uso tb es el mismo que pedí

",Size: 6 UKColour: Tropical Teal,One person found this helpful,Reviewed in Spain on 19 September 2018
,Acuarela,5.0 out of 5 stars,"

  Confortables, ligeros, puedes llevarlos todo el día que no te enteras que los llevas puestos

",Size: 4.5 UKColour: Navy,,Reviewed in Spain on 9 June 2020
,Quadweib,5.0 out of 5 stars,"

  Ich bestelle die Crocs immer bei Amazon , da sie dort billiger sind als im Geschäft, sie sind super leicht zu tragen und super bequem, sind sie mal verschmutzt einfach unter Wasser putzen.

",Size: 5/5.5 UKColour: Candy Pink,,Reviewed in Germany on 5 August 2019
,Amazon Kunde,5.0 out of 5 stars,"

  Passen zu vielen Bedingungen. Trage sie bei der Arbeit, als Hausschuhe und im Garten. Sie lassen die Füße gut belüftet und sind bequem. Nur stolpern darf man darin nicht.

",Size: 6 UKColour: Lilac,,Reviewed in Germany on 4 May 2019
,Annalisa,5.0 out of 5 stars,"

  Consigliate,la misura è quella riportata in tabella.Sono loro..le originali e si vede la differenza.Comodissime e bello il colore.

",Size: 6 UKColour: Lilac,,Reviewed in Italy on 26 June 2019
,TamaraEM,5.0 out of 5 stars,"

  Il colore è inusuale (giallo limone) ma il prezzo imbattibile.

",Size: 5.5/7 UKColour: Lemon,,Reviewed in Italy on 6 December 2020
,fonsana,5.0 out of 5 stars,"

  Für den Sommer ein perfekter Schuh für den Garten, Hof und Haus. Praktisch.

",Size: 7.5/8 UKColour: Black,,Reviewed in Germany on 17 December 2020
,No Made,5.0 out of 5 stars,"

  Über die Optik kann man streiten, über den Tragekomfort allerdings nicht. :-)

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in Germany on 16 December 2020
,Lupe Diaz Alcazar,5.0 out of 5 stars,"

  El producto llego en buen estado, el color me encanta, es el mismo que las fotos. La talla también correcta. La calidad del material es buena. Por ahora llevo dias que las utilizo y son cómodas y resistentes como esperaba. Recomendable.

",,,Reviewed in Spain on 1 August 2017
,Amazon Kunde,5.0 out of 5 stars,"

  Da ich die selben crogs habe und ich sehr zufrieden bin habe die auch für meine Schwiegermutter bestellt. Ich kann sie nur weiterempfehlen. Die über die crogs meckern das die in der Sonne zwei Nummern kleiner werden nach dem waschen sind selber schuld. Direkt in der Sonne stellt man keinen Schuh . Die sollen selber trocknen im Schatten.egel ob es crogs oder Sportschuhe. Manchmal passiert in der Sonne nichts das heißt nicht das es korrekt ist. Also kaufen und die crogs genießen.

",Size: 4 UK Men/ 5 UK WomenColour: Black,,Reviewed in Germany on 15 June 2017
,robin,5.0 out of 5 stars,"

  Classico modello, leggermente più grande rispetto al mio piede, ma ho preferito tenerlo ugualmente....comunque davvero comodo.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Italy on 8 September 2020
,Kanav Tandon,5.0 out of 5 stars,"

  For someone who usually wears sneakers and running shoes it felt somewhat large, but I quickly got use to it in a day or two of wearing and the extra room allows me to wear socks with them comfortabely if neededIf you really want a snug snug fit then a size down wont hurt anyone but im not sure thats what crocs intended when making these shoes

",Size: 11 UKColour: Black,One person found this helpful,Reviewed in Canada on 24 March 2016
,Adacrisda,5.0 out of 5 stars,"

  El color es muy bonito y son comodísimos. Normalmente calzo un 38, en algunos casos excepcionales un 37, así que pedí el 37/38 y me van perfectos.

",Size: 4 UK Men/ 5 UK WomenColour: Melon,,Reviewed in Spain on 30 March 2019
,elisa dallla benetta,5.0 out of 5 stars,"

  Arrivate nei tempi previsti, imballo perfetto.Crocs originali, calzano perfettamente. Credo che siano pressoché eterne come tutte le altre che abbiamo acquistato per tutta la famiglia. Consigliate

",Size: 8 UKColour: Tropical Teal,,Reviewed in Italy on 15 April 2018
,V.K.,5.0 out of 5 stars,"

  Ich liebe Crocs für den Garten einfach kurz rein schlupfen.Früher dafür 40€ bezahlt. Hier jetzt für die Hälfte. Toller Preis - toller Schuh 😊

",Size: 7.5/8 UKColour: Black,,Reviewed in Germany on 10 July 2020
,Carlos E. Velazco Meza,5.0 out of 5 stars,"

  Muy cómodo y útil. No pidan agregar palabras Es una perdida de tiempo. No agrega mucho más a la opinión inicial

",Size: 5 UKColour: Evergreen,One person found this helpful,Reviewed in Mexico on 26 September 2018
,Leiyla,4.0 out of 5 stars,"

  Ich hatte jahrelang eine billige Variante aus dem örtlichen Discounter. Als ich dann an einer neuen Arbeitstelle angefangen habe , habe ich mir auf die Empfehlung einer Kollegin hin ein paar Crocs gekauft.Die ersten paar Male taten mir die Füße nach langem stehen (5+ Std) höllisch weh aber mit der Zeit hat sich das dann auch gelegt.Die Schuhe sind sehr luftig , sodass falls man einmal zu heiß bekommen sollte man einfach die Beine entwas ausschütteln muss um einen angenehmen Luftzug an den Füßen zu spüren.Auch ich hatte am meisten Bedenken , dass ich in diesen Schuhen übermäßig schwitzen würde. Dazu muss ich sagen dass man zwar schwitzt (nicht übermäßig sondern ganz normal wie in jedem Schuh) aber dadurch dass man mal schnell den Schuh ausziehen kann um zu lüften vergeht das schnell.Was in meinem Beruf noch wichtig war, ist die Rutschfestigkeit und die kann überzeugen. Ich arbeite an der Rezeption eines Schwimmbades und muss manchmal auch in den Nassbereich und bisher hatte ich immer sicheren Stand.Wer rutschfeste , gemütliche , luftige und eher praktische als stylische Haus- oder Arbeitsschuhe sucht dem kann ich diese Crocs nur empfehlen.

",Size: 5 UK Men/ 6 UK WomenColour: Black,One person found this helpful,Reviewed in Germany on 27 September 2014
,Christl,5.0 out of 5 stars,"

  Habe diese Schuhe meinem Freund als Hausschuhe für meine Wohnung gekauft, da er immer meine benutzt hat.Habe versehentlich 34/44 bestellt, obwohl er normal eigentlich eher 44 oder 45 trägt.Die Schuhe passen dennoch super und es läuft sich so weich und angenehm darin; er zieht sie fast nicht mehr aus :-)

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Germany on 21 April 2016
,Valentina P.,5.0 out of 5 stars,"

  Sono anni che utilizziamo queste ciabatte in famiglia e devo dire che sono una certezza. Comode, facili da pulire, si asciugano rapidamente, vanno bene sia per l'interno che per l'esterno.Le ho acquistate per mio marito che porta un 40 e devo dire che la taglia è perfetta. Spedizione super veloce come sempre.

",Size: 6 UK Men/ 7 UK WomenColour: Tangerine,,Reviewed in Italy on 14 February 2018
,jaybour,2.0 out of 5 stars,"

  I have been forced to use inserts in these crocs because, for some strange reason, the inside soles are covered in pebbling.  Why the hell is that?  Without the inserts, they're impossible to wear!

",Size: 9 UKColour: Slate Grey,,Reviewed in Canada on 22 May 2019
,Rosa Perona,5.0 out of 5 stars,"

  El color como el de la foto, yo pedi un numero menos porque habia leido que la orma de este modelo era un poquito ancha y me queda perfecta. Comodos para el trabajo me van perfectos he notado la diferencia para mejor. Llegaron cuando esperaba y en perfecto estado.

",,,Reviewed in Spain on 3 June 2016
,Jacintus,4.0 out of 5 stars,"

  Tempi di attesalunghi, ma in lòinea con quelli dichiarati. Vale la pena aspettare perchè il prezzo è davvero conveniente

",,,Reviewed in Italy on 7 August 2019
,Jorge Eduardo ,5.0 out of 5 stars,"

  Crocs no necesita presentación, simplemente excelente calidad, diseño. Facil de lavarAmazon realizó el envió en solo un día.Recomendados

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in Spain on 6 April 2020
,I. Khan,1.0 out of 5 stars,"

  I bought these for going into the back garden. They’re the perfect fit - I can wear them with thick socks in the winter or bare foot in the summer.Unfortunately, they shrank in the recent heatwave, so they no longer fit.

",Size: 10 UKColour: Turquoise,,Reviewed in Germany on 14 July 2019
,Paolo Giannini,5.0 out of 5 stars,"

  Ho ordinato un paio di crocs grigio scuro per il lavoro. Solita consegna impeccabile di Amazon ancor prima dei tempi stabiliti. Indossando un 44 ho preso come taglia la 43-44 e devo dire che è giusta.Comodità della scarpa ottimale, leggera e di buon materiale.Consigliate!

",Size: 9 UKColour: Slate Grey,,Reviewed in Italy on 4 October 2019
,fabry,5.0 out of 5 stars,"

  Posso solo dire una cosa. Quando ti metti ai piedi una croce, non la toglieresti più.  E con questo ho detto tutto!

",Size: 7.5/8 UKColour: Army Green,,Reviewed in Italy on 27 July 2020
,Francesco morbiato,5.0 out of 5 stars,"

  Calzata ottima che corrisponde perfettamente al numero . Prodotto ben rifinito, che si segnala per robustezza e leggerezza. Consegna perfetta, nel rispetto dei tempi indicati. Soddisfatto, ne consiglio l'acquisto

",Size: 9 UKColour: Slate Grey,,Reviewed in Italy on 23 January 2020
,Palsh,5.0 out of 5 stars,"

  I'm surprised how well they fit. I have a wider foot, and use these only for walking around in my home. As for durability as an actual shoe, I wouldn't be able to tell you anything, but as an indoor shoe, they're fine.

",Size: 8/9 UKColour: Black,,Reviewed in Canada on 10 June 2017
,Fan,5.0 out of 5 stars,"

  Die Farbe (Türkis) ist super, die Schuhe sind sehr leicht am Fuß und man schwitzt darin wesentlich weniger, als in anderen Schuhen. Kleiner Minuspunkt: wenn der Boden nass ist, rutscht man damit schnell.

",Size: 6/7 UKColour: Pool,One person found this helpful,Reviewed in Germany on 13 January 2018
,A.H.,5.0 out of 5 stars,"

  Es sind die zweiten Classic Clogs von Crocs. Gut und fast unverwüstlich. Sie sind ihr Geld wert.

",Size: 8/9 UKColour: Black,,Reviewed in Germany on 30 September 2020
,Client Amazon,5.0 out of 5 stars,"

  Paire achetée pour remplacée une vieille paire de 2010. J'ai été un peu surprise, avant ça taillait assez grand, et là ça taille pile-poil. A savoir donc, maintenant il vaut mieux prendre sa vraie pointure que celle un peu en dessous comme avant.Elle m'ont aussi paru plus fermes, au bout d'un an d'usage c'est toujours un peu le cas (elles sont moins ""avachies"" que les autres) mais ça n'enlève rien au confort, au contraire !

",Size: 4.5 UKColour: Navy,3 people found this helpful,Reviewed in France on 7 June 2017
,Klassik-Fan,5.0 out of 5 stars,"

  Als ich Crocs zum erstenmal bei anderen Leuten sah, fand ich sie ziemlich prollig und vermutete, dass die Füße darin schwitzen. Das änderte sich schlagartig, als ich sie ausprobierte: Federleicht, angenehm auch barfuß, und nichts von dem unangenehmen Geruch, der in früheren Rezensionen erwähnt wird.Inzwischen habe ich mehrere Paare - für draußen wie für drinnen, und diese sind meine meistgetragenen Schuhe.

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in Germany on 23 April 2015
,Pino,4.0 out of 5 stars,"

  Ottima scarpa...comoda leggera e resistente da scegliere 1 numero in più in quanto veste leggermente stretta.

",Size: 12 UKColour: Black,,Reviewed in Italy on 9 June 2020
,Anna K.,5.0 out of 5 stars,"

  Hat alles gut geklappt, schneller Versand und ein wirklich gutes Produkt.

",,One person found this helpful,Reviewed in Germany on 10 September 2019
,Valentina,5.0 out of 5 stars,"

  È già un'estate che li abbiamo presi e sono perfetti ancora. Consigliatissimi

",,,Reviewed in Italy on 6 June 2020
,ulimae,4.0 out of 5 stars,"

  normalerweise passt mir 39/40 wie angegossen, aber diese Clogs sind etwas zu groß/weit, ich habe mich aber entschlossen sie zu behalten, werde Einlagen reinlegen,  obwohl dann der Rubbeleffekt der Clogs verloren geht - da aber derzeit Poststreik ist und so gut wie keine Post bei uns ankommt, gehe ich davon aus, dass eine Retoure auch erst mal nicht ankommen wird.

",Size: 6 UK Men/ 7 UK WomenColour: Pepper,,Reviewed in Germany on 23 June 2015
,Jorge Eduardo ,5.0 out of 5 stars,"

  Crocs no necesita presentación, simplemente excelente calidad, diseño. Facil de lavarAmazon realizó el envió en solo un día.Recomendados

",Size: 6 UK Men/ 7 UK WomenColour: Navy,,Reviewed in Spain on 6 April 2020
,Berrybear,5.0 out of 5 stars,"

  Le ho comprate per la mia ragazza, io le uso da anni, sono di una comodità unica.

",Size: 3/4 UK WideColour: Neon Purple,,Reviewed in Italy on 2 July 2020
,David Pareja Medina,4.0 out of 5 stars,"

  Crocs originales para mi la opción más cómoda para estar por casa, volvería a comprarlo sin duda alguna

",,,Reviewed in Spain on 16 May 2020
,anja,1.0 out of 5 stars,"

  Ich kann nur jeden vom Kauf dieses Artikels abraten wenn dieser ""Made in China"" ist. Die Schuhe stinken abscheulich. Warum man so einen Artikel Kunden zumutet ist und bleibt mir ein Rätsel. Was mir besonders missfallen ha t ist die Tatsache, dass ich schon im Vorfeld den Lieferanten per E-Mail gebeten habe, die Lieferung nur dann auszuführen wenn es sich um keine China Ware handelt. So musste ich, natürlich auf meine Kosten, den Artikel zurücksenden.

",,6 people found this helpful,Reviewed in Germany on 8 August 2013
,Jessica H.,4.0 out of 5 stars,"

  Die typischen Crogs halt.Bin ja immer der Meinung es müssen keine echten sein, aber da die hier echt relativ günstig sind, geht das echt klar!

",Size: 11 UKColour: Black,,Reviewed in Germany on 23 December 2019
,Emanuela,4.0 out of 5 stars,"

  Comode e leggere, colore come in foto. Peccato che poco dopo averle acquistate il prezzo sia sceso di oltre 10 euro... avendole già indossate non ho potuto restituirle altrimenti la avrei prese ad un prezzo più conveniente. In termini di qualità nulla da obiettare

",Size: 6 UK Men/ 7 UK WomenColour: Lilac,,Reviewed in Italy on 28 June 2017
,Lorenzo,5.0 out of 5 stars,"

  Comodissime (ed abbondanti, ma questo sta nella mia idea di comodità...), assolutamente corrispondenti alle aspettative. Non propriamente economiche ma nemmeno esageratamente care: un bel regalo da fare e - soprattutto- da farsi.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Italy on 13 May 2020
,Miguel Ángel,4.0 out of 5 stars,"

  La talla es un poco pequeña en comparación con las tallas de zapatillas, recomiendo una talla más que la de zapatillas.

",Size: 13 UKColour: Black,One person found this helpful,Reviewed in Spain on 12 September 2018
,Monica Wela,5.0 out of 5 stars,"

  Me las compré como zapatillas de ir por casa para la furgo. Me encantan y son super comodas... nada que ver con las de los bazares jajaja

",Size: 4 UK Men/ 5 UK WomenColour: Black,,Reviewed in Spain on 2 July 2019
,susi,2.0 out of 5 stars,"

  Alles top dann standen sie in der Sonne und würden 2 Nummern kleiner könnte es gar nicht glauben

",Size: 12 UKColour: Black,,Reviewed in Germany on 3 August 2020
,Amazon-Kunde,3.0 out of 5 stars,"

  Farblich schöne Crocs .Leider haftet ihnen immer noch ein übler Gestank an.Da ich das aber von meinen alten Crocs kenne, werden sie auch erst an der Luft ausgasen müssen. Wer eine sehr empfindliche Nase hat, kommt schlecht damit zurecht.Ich dachte nach paar Jahren Produktion und evtl. Verbesserungen hätte der Hersteller dieses Manko bis heute beseitigt, denn der Preis ist für PVC Schuhe schon recht hoch... !Deshalb von mir auch nur 3 Sterne.

",,,Reviewed in Germany on 27 April 2011
,VRB,5.0 out of 5 stars,"

  Parece que da algo menos talla que las que ya tenia o bien hay diferencias entre los modelos de hombre a los de mujer; pero son perfectas!!

",Size: 8 UKColour: Lilac,,Reviewed in Spain on 5 April 2019
,nerea,5.0 out of 5 stars,"

  Uso un número 41, pedí el 39-40 ya que había leído que tallan grande y acerté. El pie encaja perfecto, sin sobrar nada. Si usas un 41,5 creo que es mejor el número siguiente.Pone que son hechos en Italia.Son tal y como aparecen en las fotografías del vendedor.

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in Spain on 23 July 2016
,Isabel Costa,5.0 out of 5 stars,"

  El producto es muy bueno pero no hay mucha variedad de colores

",Size: 3 UK Men/ 4 UK WomenColour: Ice Blue,,Reviewed in Mexico on 14 October 2020
,Fabio Albergo,5.0 out of 5 stars,"

  Prodotto come da descrizione, sono comodissime! Amazon impeccabile come sempre con la spedizione..

",Size: 7 UK Men/ 8 UK WomenColour: Ice Blue,,Reviewed in Italy on 28 May 2020
,Cliente Amazon,5.0 out of 5 stars,"

  Las uso para estar en casa y la verdad es que amortiguan estupendamente. Peso unos 84kg y es un alivio sentir lo mullida que están y la ligereza que aportan.

",Size: 10 UKColour: Pepper,,Reviewed in Spain on 3 November 2019
,JacopoL,5.0 out of 5 stars,"

  Originali, belle, leggerissimamente abbondanti. Prezzo 💣

",Size: 9 UK Men/ 10 UK WomenColour: Lemon,,Reviewed in Italy on 22 December 2020
,Sofia Akash,5.0 out of 5 stars,"

  Prodotto eccellente. Calza molto bene . Consiglio per chi vuole confort nell'indossare.

",Size: 10 UKColour: Pepper,,Reviewed in Italy on 24 June 2020
,Cliente Amazon,5.0 out of 5 stars,"

  son horteras como todas las crocs pero esq a mi me gustan

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in Spain on 12 November 2020
