Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Slightly larger than a UK12
",KSArts,4.0 out of 5 stars,"

  Bought these for a friend who always buy crocs clogs and always a size 12. However, strangely these are listed as a 12 but when they arrived said 13 on the sole. I am aware of the many different crocs sizings, it depends on where they were made and what market they were made for, hence the M and W. These did say they are a UK12 (m13) but they are bigger than the usual UK12 I have bought so many times. My friend kept them as he only uses crocs for gardening but they are bigger.

",Size: 12 UKColour: Black,3 people found this helpful,Reviewed in the United Kingdom on 27 March 2017
"
I love 💓 my crocs
",Beau,5.0 out of 5 stars,"

  I bought my last pair 13 years ago, I wear them like slippers, so popping to the bin is easy , I garden in them , wear them camping , on the beach , in shower if camping . 13 years later I decided to treat myself to a new pair , no they’re not a fashion statement, but they’re so practical . My daughter also buys them for her work as a vet

",Size: 6 UKColour: Pepper,,Reviewed in the United Kingdom on 9 July 2020
"
What are int'l shoe standards for?
",Mouro,4.0 out of 5 stars,"

  I already had a pair of Crocs size 12 UK, tha fit perfetly These I ordered now came with 12M marked, and fit just a bit smaller. However, the tags said this pair was size 12 UK, equal to 48/49 EU. As far as I know, my feet always fit 12 UK or 47 EU, as they are 29,8 cm long. All this looks complicated? I make it simple: I'll never again buy a pair of Crocs if not ONLY in UK sizes. There is a big confusion with the international shoe sizing standards all arround Europe, european shoemakers ( or should I say chinese shoemakers) just don't respect rules.

",Size: 12 UKColour: Pepper,3 people found this helpful,Reviewed in the United Kingdom on 16 May 2016
"
Unfortunately they send the wrong size
",AL,2.0 out of 5 stars,"

  Unfortunately I received the wrong size and I didnt checked it properly before I shipped it abroad, so now the person I gifted is wearing it only indoors and the pair is one size bigger than the one I ordered, so not very happy. The second start instead of only one is because the colour is very vibrant and lovely

",Size: 9 UK Men/ 10 UK WomenColour: Lemon,,Reviewed in the United Kingdom on 8 October 2020
"
well 'andy!
",Pongo!,5.0 out of 5 stars,"

  Croc's, dunno why they call 'em that, but hey their good. They don't smell their loose on your feet but still grip even if they are a size too big, but thats what all the other reviewers said, and i'm glad i took their advise to get one size bigger cos looser the better.They are so light on your feet you wouldn't know you got 'em on, they've got a patterned surface on the inside of the sole that feels a bit rough to start with bit after a time you get used to it and it kinda massages ya feet.Your feet do sweat a bit but with the holes all over the croc the air kinda cools ya feet.Yer they do look a bit ungainly like the typical clodhoppers of old and its a bit weird going out in 'em when you first get ya crocs, but take my word they are really comfortable. A mate of mine wore em when they first came out and they looked weird and he's a fashion guru, but i can see now why he wore em.Their made of some sort of hard polystyrene and the strap can either be used for the front for slip-ons or the the back to hold 'em on, even with the strap down to the shoe they don't flip off.Happy? yes well happy, for the price of 'em its good value and for comfort.

",Size: 9 UK Men/ 10 UK WomenColour: Black,2 people found this helpful,Reviewed in the United Kingdom on 11 August 2013
"
Just the Job
",PJJ,5.0 out of 5 stars,"

  Advised by my podiatrist to wear crocs rather than flip-flops & slip on sandles, around home use. 65 with 2 tin his (sadly not a 32"" waist) - playing competative club golf again, walking, biking, etc.. But hit some problems with Plantar Facitus ( excuse spelling ?) - problems with ligament underside foot to heel.Crocs another part of the tool kit to keep the old body going on the active stuff - at this age and general life long sporting wear & tear - there is no one magic cure all - its a matter of finding anything that helps the cause a ""little"" - and Crocs do.Best price I could find £16 - possibly could be a little cheaper ?For the fashion conscious - navy blue appears to go with most things.Nb.  Initially took note of reviews - suggesting need to purchase one size larger - I am a ""full"" wide fitting uk. size10 - so initially bought size 11 - wrong !!  -  much too big, length & wdth  - replaced with size 10 - perfect.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,3 people found this helpful,Reviewed in the United Kingdom on 4 October 2013
"
Far too big to be a UK 8
",cargoman,3.0 out of 5 stars,"

  The only complaint with this product is the sizing.  Usually I wear a UK 9 in normal shoes, but as I’d ordered a UK size 8 for crocs last time, that’s what ordered this time.The crocs that arrived claim to be an 8 but they’ve got to be closer to an 11 in normal shoes. I will be able to use them but I just wish they could sort the sizing issue out.

",Size: 8/9 UKColour: Black,,Reviewed in the United Kingdom on 6 June 2020
"
Check out the fit first!
",Gary L.,3.0 out of 5 stars,"

  Appears to be a great quality pair of shoes. BUT sadly not the right fit. Despite no mention in the product description, these are a 'roomy fit' - which is too loose for me. Was this an accident, or what the item is supposed to be? Who knows. A reminder of the value of being able to 'try before you buy' on the high street. Best ask the question, BEFORE you buy.

",Size: 8 UK Men/ 9 UK WomenColour: Bronze,,Reviewed in the United Kingdom on 5 December 2020
"
Size not as advertised
",Denza,3.0 out of 5 stars,"

  Bought size advertised as M4/W5 as I am a UK 5. When they arrived, they are marked M5/W7. They only just fit me. Be careful when ordering as sizing is very confusing. Service prompt. Decided not to return as I can get away with this fit although it is much more snug then I expected

",Size: 4/5 UK WideColour: Neon Purple,2 people found this helpful,Reviewed in the United Kingdom on 19 May 2019
"
Versatile, airy and cushioned casual clog.  Very durable.  Excellent price.  3rd pair, would like more colours still.
",Kentish Reviewer,5.0 out of 5 stars,"

  My 3rd pair of crocks.  I've got joint problems in my back so I find the shock-absorbing abilities of these a real blessing !  Plus they have little bobbles in the inside so you get a small massage every time you put your foot down !The airvents are equally great for summer when you're doing a lot of walking round National Trust properties in the sunshine.  I also use them in the garden, round the house, for driving, the beach and when I want to wear comfortable shoes that don't have a heel or squish my feet up !!

",Size: 5 UK Men/ 6 UK WomenColour: Black,One person found this helpful,Reviewed in the United Kingdom on 17 April 2017
"
Crocs clog.
",Alison,5.0 out of 5 stars,"

  I am a size 6 women's shoe, a little on the wide side of fitting. I ordered size M6 - W8 ....I got a perfect fit. Mine have been made in Bosnia. Just thought it worth a mention as there seems to be so many variations of size out there!

",Size: 5/5.5 UKColour: Candy Pink,One person found this helpful,Reviewed in the United Kingdom on 4 March 2020
"
Good value
",E. Vicke,4.0 out of 5 stars,"

  Really good crocks that are very dark blue, almost black. Crocs are generally well made and comfortable and this was no exception. They have a nice thick sole which makes it very pleasant to walk. I actually use them instead of slippers around the house.The only thing I would say is that they are moderately small although I have to say that I prefer really lose fitting crocs type shoes so it might be just down to my personal preference, rather than crocs making them on the smallish side.

",Size: 4.5 UKColour: Navy,2 people found this helpful,Reviewed in the United Kingdom on 16 December 2016
"
Not a very generous fit
",C. JONES,3.0 out of 5 stars,"

  I usually buy Croc lookalikes (or mock crocs as I refer to them) from a well known high street shoe shop, but they seem to wear down on the heel quite quickly, so I thought I'd try the branded one's. I have wide feet, so purchase men's size 7 in the mock croc version. Other reviewers stated that sizing depended greatly on where their Crocs were made, but as I had no idea in advance which version I would receive, I thought I should stick with a size 7. I have to say mine are a little on the small side - not only narrower but also shorter in length. I wear them instead of slippers, so during the summer months they fit fine, but I cannot wear them with socks once it gets cooler - there simply isn't enough room in them. I think in future I will stick with the 2 pairs for £8.00 mock crocs, and just replace them more often. I find it rather ironic that a cheaper high street pair, is more generously sized than the expensive branded version.

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in the United Kingdom on 27 January 2015
"
Crocs are brilliant
",Thomas,5.0 out of 5 stars,"

  Not decrying cheap imitations but you can't beat the original crocs, whether as a slipper, garden shoe, water shoe or general kick about they are so light and comfortable on your feet, you forget got them on. Just make sure you buy the right size. Its american sizing on the shoe.

",Size: 15 UKColour: Khaki,,Reviewed in the United Kingdom on 22 December 2020
"
Great product, crocs made in Bosnia are brilliant; but Vietnamese ones are uncomfortable.
",Edward Carver,5.0 out of 5 stars,"

  Super comfy ventilated footwear. Great grip on wet stone. I wish I'd bought these ages ago. One word of warning: the bobbles on the inside of the sole of the ones made in Bosnia are rounded and very comfy. I bought a pair of crocs made in Vietnam, both through Amazon, and the bobbles inside the sole were very sharp and uncomfortable - had to send them back.

",,,Reviewed in the United Kingdom on 29 August 2019
"
Fabulous design footwear.
",B. Lengden,5.0 out of 5 stars,"

  They're broader than I expected, but that's good as I like my big feet to look even bigger!  They're perfectly comfy, and I can easily slip them on and keep them on, whichever way I wear the strap; the 'pimply' footbeds are very well/anatomically designed.  I love the vivid green colour, and the Croc logo pics on the rivets holding the straps on.  I love that I can wear them indoors and out, and that they are very quickly and easily washable, and unharmed if I go outside in the wet.  I only wish I'd got some years ago!

",,2 people found this helpful,Reviewed in the United Kingdom on 20 June 2016
"
Roomier fit than expected
",Branoic,3.0 out of 5 stars,"

  I wear Crocs around the house as indoor shoes and find them very comfortable. I always buy a size 8 (as I did with these) but these particular Crocs are a bit bigger than the other size 8 Crocs I own. The product label describes them as 'roomy fit', a style which I didn't know existed. I probably could have got away with buying a size 7 (if I'd known in advance how roomy these shoes are). These Crocs don't fit as nicely as my other size 8 Crocs but are still fine for wearing while wandering around the house. I'm reviewing them to mention that they are a larger fitting style just in case other shoppers would find the info useful.

",,4 people found this helpful,Reviewed in the United Kingdom on 14 October 2014
"
Crocs Classic mules...
",Genubia,5.0 out of 5 stars,"

  Very comfortable, light and not at all bulky...

",Size: 5/5.5 UKColour: Army Green,4 people found this helpful,Reviewed in the United Kingdom on 18 March 2019
"
Who doesnt own a pair of crocs?
",Helen,5.0 out of 5 stars,"

  I bought these as a warehouse deal and they came through without branded packaging but appeared as brand new with tags.This is my second pair, bought the first several years ago, the soles wore thin and the straps detached, but i've kept them for garden use.Sure, they're kind of ugly but very practical. i use mine to cycle to the swimming pool ie can slip them on and off fast. And also to visit  a food gardening project where I need some protection from scratching etc and dont want to trash nice shoes, or wear heavy wellies in summerThey are very light to wear and comfy, with or without socks..The navy is a nice discreet colour.I would add that re sizing I am nearly always a 6/39, but take a 5 in crocs.

",Size: 4.5 UKColour: Navy,4 people found this helpful,Reviewed in the United Kingdom on 28 August 2013
"
The colour slightly more pink than peachy
",Marci S.,4.0 out of 5 stars,"

  I bought the melon clogs (and another newer style of the crocs) and I have decided to return these. Mainly because although wide enough they were a bit smaller for me lengthwise and the colour wasn’t (due to the screen on my computer) as expected.But yes comfort wise crocs never disappoint!

",Size: 7 UKColour: Melon,,Reviewed in the United Kingdom on 9 March 2020
